,Channel_name,Description,Subscribers,Views,Total_videos,Playlist_id
0,Seattle Data Guy,"Welcome to my channel.

I make videos on data science, data engineering and consulting. 

Follow me on:

Linkedin: https://www.linkedin.com/company/18129251/
Facebook: https://www.facebook.com/SeattleDataGuy
Twitter: https://twitter.com/SeattleDataGuy

",35100,1630138,132,UUmLGJ3VYBcfRaWbP6JLJcpA
1,Alex The Analyst,"My name is Alex Freberg and on this channel I will be going over everything you need to know to become a Data Analyst. If you are wanting to make a career change or learn the skills needed to become a Data Analyst, be sure to subscribe to stay up to date on all my latest content.

You can find me on LinkedIn at:
https://www.linkedin.com/in/alex-freberg/

AlexTheAnalyst.com
https://www.alextheanalyst.com/

Discord Channel:
https://discord.gg/rxZUjNvRzR

1 on 1 Coaching/Support the Channel:
https://www.patreon.com/AlexTheAnalyst

Twitter:
@Alex_TheAnalyst

Send Me Something:
431 Saint James Avenue Suite L #318, Goose Creek, SC, 29445
",251000,9983597,153,UU7cs8q-gJRlGwj4A8OmCmXg
2,Luke Barousse,"What's up, Data Nerds! I'm Luke, a data analyst, and I make videos about tech and skills for data science.

If you have a question about becoming a data analyst, drop a comment in any video. No need to email, as I answer all comments!


",200000,9609930,77,UULLw7jmFsvfIVaUFsLs8mlQ
3,Internet Made Coder,"On this channel, my aim is to give you the tools, strategies and methods to learn to code effectively - according to science! In addition, I document my life as a self-taught software engineer.

For collaborations: tuomas@internetmadecoder.com

For sponsorships: internet_made_coder@intheblackmedia.com
",90000,3036569,40,UUcJQ96WlEhJ0Ve0SLmU310Q
4,Matt D'Avella,"Hi there 👋 If you're new to my video's my name is Matt D'Avella. I'm a documentary filmmaker, entrepreneur and YouTuber. I've made a couple documentaries for Netflix. I also teach courses on everything from filmmaking to habit change. If you like to nerd out about self-development as much as I do, you can subscribe for weekly videos.

If you like my videos you might like my courses where I go even deeper into topics like self-development, creativity & filmmaking: http://slowgrowth.com
 
Thanks for your support.",3370000,250569870,392,UUJ24N4O0bP7LGLBDvye7oCA
5,Kevin Stratvert,"Learn how to do anything with high quality how to and review videos. I'm an ex-Microsoft Program Manager and now a full time YouTube Creator. I worked at Microsoft for 14 years and most recently led the Office.com and the Office app experiences. 

⏭️ Learn the fundamentals of Excel in only 2 hours: https://kevinstratvert.thinkific.com/

🪙 Support the channel with your Amazon purchases: https://amzn.to/3kCP2yz

I use affiliate links above, which give me a small commission to support videos on this channel -- the price to you is the same.
",1470000,183175809,555,UUfJT_eYDTmDE-ovKaxVE1ig
6,Kalle Hallden,"Hi, I am 300 moons old. I count everything in moons, it is very confusing for people.
I like to build stuff with code so that's mostly what I do in my videos",657000,48274560,236,UUWr0mx597DnSGLFk1WfvSkQ
7,Andy Sterkowitz,,307000,14213926,168,UUZ9qFEC82qM6Pk-54Q4TVWA
8,NetworkChuck,"Welcome to NetworkChuck!

I LOVE Information Technology!! My goal is to help as MANY PEOPLE AS POSSIBLE jump into a career in the IT field through obtaining IT Certifications. I talk about Cisco Certifications, CompTIA, AWS, Microsoft...pretty much EVERYTHING in IT. As a CBT Nuggets Trainer, it's also my passion to TEACH information technology and to make it FUN. 

If your goals are to obtain your CCNA, CompTIA A+, CompTIA Network+...I'm here to help you with that goal in any way I can!

*****Interested in Sponsoring NetworkChuck? Email chuck@networkchuck.com",2330000,109010776,307,UU9x0AN7BWHpCDHSm9NiJFJQ
9,Ken Jee,"Data Science and Sports Analytics are my passions. My name is Ken Jee and I have been working in the data science field doing sports analytics for the last 5 years. I have held data science positions in companies ranging from startups to fortune 100 organizations.  I transitioned into data science from a business and consulting background. When I was first starting out on my data science journey I was extremely lost; there were very few resources for me to learn about this field from. I decided to start making YouTube videos to share my experiences and to hopefully help others get break into the data science and sports analytics fields. 

On this channel I produce fun and informative Data Science and Sports Analytics Content. My goal is to provide insight into the data science community, career advice, and sports related analysis.

",210000,6631584,234,UUiT9RITQ9PW6BhXK0y2jaeg
10,Tina Huang,"Hi! My name is Tina and I'm a data scientist at a FAANG company. 

This channel is about data science, learning, and productivity. I love learning new things and my goal is to always minimize effort and maximize outcome! 

I strive to do things the most efficient way possible and with the highest reward. I basically refuse to do extra work to achieve my goals c: 

----------------------------------------------------------------------------------------------------------------------------------------------------
A little about myself:

I did my undergraduate at the University of Toronto where I studied pharmacology. I was pre-med but decided I would be a terrible doctor 😱. I worked in bioinformatics for a year and then did my masters in computer science (MCIT) at the University of Pennsylvania. 

I interned at Goldman Sachs, then got my current data science job in tech. 

Talk soon! 
Tina",367000,14254895,105,UU2UXDak6o7rBm23k3Vv5dww
11,Jason Goodison,"My name is Jason Goodison, I'm an SWE @ Microsoft

My passion is helping you get your dream job at whichever company that may be (Microsoft, Google, Facebook ...)

On this channel, You'll find everything from relatable skits to real interviews you'll get at FAANG

There has never been a better time to get a job in Tech! 

Keep working hard!

LinkedIn: https://www.linkedin.com/in/jasonlevigoodison/
",36500,1325229,56,UUhz9LmLfA1Q2SCx32fYw-Og
12,Namanh Kapur,"Hi! 👋 Welcome to my channel — I'm a 24 year old, recent graduate working at a high growth startup! Follow along for insights into the tech industry, all things startup, and what to expect as a recent-grad remote software engineer. I also dabble in sketch-comedy and investing. Thanks for being here!
 
Milestones:
[2022]
Jan 05 -- 0 subs (Video #1)
Feb 07 -- 100 subs
Feb 25 -- 500 subs
Mar 22 -- 1,000 subs
Mar 30 -- 5,000 subs
Apr 01 -- 10,000 subs
Apr 23 -- 25,000 subs
Jun 13 -- 50,000 subs
July 16 -- 75,000 subs
",80400,4316823,28,UULpovxJVLBZrXJGCymB6LYw
